Hour,Chaetognatha,Medusae,Echinodermata,Shrimp,Copepoda,Appendicularia,Noctiluca,Temp_C,Sal
2022/1/1 0:00,0,0,0,0,0,0,1.857142857,19.925,33.465
2022/1/1 1:00,0,0,0,0,0,0,0.243902439,19.93,33.47
2022/1/1 2:00,0,0,0,0,0,0,0.714285714,19.9175,33.4575
2022/1/1 3:00,0,0,0,0,0,0,0,19.845,33.4575
2022/1/1 4:00,0,0,0,0,0,0,0,19.905,33.46
2022/1/1 5:00,0,0,0,0,0,0,0,19.9075,33.45
2022/1/1 6:00,0,0,0,0,0,0,0,19.8775,33.4
2022/1/1 7:00,0,0,0,0,0,0,0,19.64,33.095
2022/1/1 8:00,0.535714286,0,0,0,0.178571429,0,0.892857143,19.64,33.095
2022/1/1 9:00,0.465116279,0,0,0,0.465116279,0,3.023255814,19.7525,33.1275
2022/1/1 10:00,0.045045045,0,0,0,0.315315315,0,7.207207207,19.835,33.1725
2022/1/1 11:00,0.231788079,0,0,0,0.430463576,0,10.23178808,19.8825,33.1675
2022/1/1 12:00,0.162337662,0,0,0,0.616883117,0,12.37012987,19.9275,33.125
2022/1/1 13:00,0.061349693,0,0,0,0.460122699,0,12.39263804,19.915,33.0625
2022/1/1 14:00,0.132450331,0,0,0,0.728476821,0,11.05960265,20.0525,33.0625
2022/1/1 15:00,0.094339623,0,0,0,1.006289308,0,12.45283019,20.315,33.13
2022/1/1 16:00,0.144927536,0,0,0,1.231884058,0,6.15942029,20.405,33.13
2022/1/1 17:00,0.086206897,0,0,0,0.172413793,0,3.620689655,20.445,33.03
2022/1/1 18:00,0.208333333,0,0,0,0,0,2.083333333,20.13,32.965
2022/1/1 19:00,0,0,0,0,0.151515152,0,4.772727273,19.995,33.01
2022/1/1 20:00,0.080645161,0,0,0,0.080645161,0,5.806451613,20.0225,33.0325
2022/1/1 21:00,0,0,0,0,0,0,7.903225806,20.09,32.95
2022/1/1 22:00,0.037037037,0,0,0,0.481481481,0,10,20.13,32.9675
2022/1/1 23:00,0.079365079,0,0,0,0.238095238,0,6.746031746,20.025,32.9625
2022/1/2 0:00,0,0,0,0,0.27027027,0,7.927927928,20.03,33.045
2022/1/2 1:00,0,0,0,0,0,0,1.842105263,20.025,33.0975
2022/1/2 2:00,0,0,0,0,0.526315789,0,3.157894737,20.0075,33.0575
2022/1/2 3:00,0,0,0,0,0.638297872,0,4.680851064,20.0325,33.0575
2022/1/2 4:00,0,0,0,0,0,0,3.095238095,20.0525,33.065
2022/1/2 5:00,0,0,0,0,0,0,0,19.9825,33.02
2022/1/2 6:00,0,0,0,0,0,0,0,19.975,33.03
2022/1/2 7:00,0,0,0,0,0,0,0,19.945,33.055
2022/1/2 8:00,0,0,0,0,0,0,0,19.825,33.0325
2022/1/2 9:00,0,0,0,0,0,0,0,19.865,33.02
2022/1/2 10:00,0,0,0,0,0,0,0,19.9475,33.0175
2022/1/2 11:00,0.172413793,0,0,0,0,0,0,20.0725,33.0125
2022/1/2 12:00,0,0,0,0,0.098039216,0,3.137254902,20.1925,33.015
2022/1/2 13:00,0.166666667,0,0,0,0,0,1.333333333,20.1475,33.0225
2022/1/2 14:00,0,0,0,0,0.086206897,0,4.310344828,20.1375,33.015
2022/1/2 15:00,0,0,0,0,0.2,0,2.6,20.155,33.025
2022/1/2 16:00,0,0,0,0,0.142857143,0,3.428571429,20.0675,33.02
2022/1/2 17:00,0.37037037,0,0,0,0.37037037,0,0.555555556,19.985,32.995
2022/1/2 18:00,0,0,0,0,0,0,4.482758621,20.4375,32.8925
2022/1/2 19:00,0.052631579,0,0,0,0.315789474,0,6.105263158,20.56,32.83
2022/1/2 20:00,0,0,0,0,0.192307692,0,7.692307692,20.3925,32.8025
2022/1/2 21:00,0,0,0,0,0.730994152,0,13.62573099,20.1725,32.7375
2022/1/2 22:00,0.151515152,0,0,0,1.090909091,0,12.18181818,20.24,32.7625
2022/1/2 23:00,0.063291139,0,0,0,0.759493671,0,12.24683544,20.315,32.83
2022/1/3 0:00,0.105633803,0,0,0,1.126760563,0,9.190140845,20.1575,32.8875
2022/1/3 1:00,0.098039216,0,0,0,0.294117647,0,5.392156863,20.0775,32.9375
2022/1/3 2:00,0.071428571,0,0,0,0.571428571,0,3.857142857,20.055,32.94
2022/1/3 3:00,0.094339623,0,0,0,1.037735849,0,3.301886792,19.995,32.955
2022/1/3 4:00,0.192307692,0,0,0,0.384615385,0,2.692307692,19.95,32.9575
2022/1/3 5:00,1,0,0,0,0,0,1,19.8875,32.9375
2022/1/3 6:00,0.555555556,0,0,0,0,0,0.555555556,19.8825,32.915
2022/1/3 7:00,0,0,0,0,0,0,0,19.845,32.9175
2022/1/3 8:00,1,0,0,0,0.333333333,0,0,19.7875,32.9175
2022/1/3 9:00,0.161290323,0,0,0,0,0,0,19.7625,32.905
2022/1/3 10:00,0,0,0,0,0,0,0,19.745,32.905
2022/1/3 11:00,0.192307692,0,0,0,0,0,0,19.75,32.91
2022/1/3 12:00,0.333333333,0,0,0,0,0,0.333333333,19.9475,32.9
2022/1/3 13:00,0.357142857,0,0,0,0,0,0.357142857,20.1175,32.91
