Hour,Chaetognatha,Medusae,Echinodermata,Shrimp,Copepoda,Appendicularia,Noctiluca,Temp_C,Sal
2022/1/1 0:00,0,0,0,0,0,0,1.857142857,19.925,33.465
2022/1/1 1:00,0,0,0,0,0,0,0.243902439,19.93,33.47
2022/1/1 2:00,0,0,0,0,0,0,0.714285714,19.9175,33.4575
2022/1/1 3:00,0,0,0,0,0,0,0,19.845,33.4575
2022/1/1 4:00,0,0,0,0,0,0,0,19.905,33.46
2022/1/1 5:00,0,0,0,0,0,0,0,19.9075,33.45
2022/1/1 6:00,0,0,0,0,0,0,0,19.8775,33.4
2022/1/1 7:00,0,0,0,0,0,0,0,19.64,33.095
2022/1/1 8:00,0.535714286,0,0,0,0.178571429,0,0.892857143,19.64,33.095
2022/1/1 9:00,0.465116279,0,0,0,0.465116279,0,3.023255814,19.7525,33.1275
2022/1/1 10:00,0.045045045,0,0,0,0.315315315,0,7.207207207,19.835,33.1725
2022/1/1 11:00,0.231788079,0,0,0,0.430463576,0,10.23178808,19.8825,33.1675
2022/1/1 12:00,0.162337662,0,0,0,0.616883117,0,12.37012987,19.9275,33.125
2022/1/1 13:00,0.061349693,0,0,0,0.460122699,0,12.39263804,19.915,33.0625
2022/1/1 14:00,0.132450331,0,0,0,0.728476821,0,11.05960265,20.0525,33.0625
2022/1/1 15:00,0.094339623,0,0,0,1.006289308,0,12.45283019,20.315,33.13
2022/1/1 16:00,0.144927536,0,0,0,1.231884058,0,6.15942029,20.405,33.13
2022/1/1 17:00,0.086206897,0,0,0,0.172413793,0,3.620689655,20.445,33.03
2022/1/1 18:00,0.208333333,0,0,0,0,0,2.083333333,20.13,32.965
2022/1/1 19:00,0,0,0,0,0.151515152,0,4.772727273,19.995,33.01
2022/1/1 20:00,0.080645161,0,0,0,0.080645161,0,5.806451613,20.0225,33.0325
2022/1/1 21:00,0,0,0,0,0,0,7.903225806,20.09,32.95
2022/1/1 22:00,0.037037037,0,0,0,0.481481481,0,10,20.13,32.9675
